CTID,species,tissue_class,tissue_type,main_cancer_type,cancer_type,cancer_type_detail,big_cell_type,major_cell_type,cell_name,cell_marker,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,main_Phenotype_label,Phenotype_label,Association_Type,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence
CT244,Human,Pancreas,Pancreatic adenocarcinoma,Pancreatic Cancer,Pancreatic adenocarcinoma,Pancreatic adenocarcinoma,Cancer cell,Malignant cell,ADGRG6+ malignant cells,ADGRG6,40226617,Identification of a novel prognostic marker ADGRG6 in pancreatic adenocarcinoma: multi-omics analysis and experimental validation,Frontiers in Immunology,2025,Multi-omics analysis,TCGA and GEO databases,biological phenotype,Tumor Metastasis,invasion and migration,promotes,cell lines,Transwell assay,unknown,functional assay,"""Transwell assays were conducted to assess the migration and invasion capabilities of PAAD cells following ADGRG6 knockdown and overexpression. The results showed that ADGRG6 knockdown significantly reduced the migration and invasion abilities of CFPAC-1 and PANC-1 cells"""
CT245,Human,Pancreas,Pancreatic adenocarcinoma,Pancreatic Cancer,Pancreatic adenocarcinoma,Pancreatic adenocarcinoma,Cancer cell,Malignant cell,ADGRG6+ malignant cells,ADGRG6,40226617,Identification of a novel prognostic marker ADGRG6 in pancreatic adenocarcinoma: multi-omics analysis and experimental validation,Frontiers in Immunology,2025,Survival analysis,TCGA database,clinical phenotype,Survival,Overall Survival,associated with worse survival,clinical sample,Kaplan-Meier survival analysis,GEO databases,clinical analysis,"""Kaplan-Meier survival analysis across all validation cohorts (GSE71729, GSE183795, GSE57495, GSE21501, GSE85916, ICGC-AU, and KM-plot) demonstrated that high ADGRG6 expression was correlated with shorter survival"""
CT246,Human,Pancreas,Pancreatic adenocarcinoma,Pancreatic Cancer,Pancreatic adenocarcinoma,Pancreatic adenocarcinoma,Cancer cell,Malignant cell,ADGRG6+ malignant cells,ADGRG6,40226617,Identification of a novel prognostic marker ADGRG6 in pancreatic adenocarcinoma: multi-omics analysis and experimental validation,Frontiers in Immunology,2025,Multi-omics analysis,TCGA and GEO databases,biological phenotype,Tumor Growth,proliferation,promotes,cell lines,colony formation assay,unknown,functional assay,"""MTT and colony formation assays demonstrated that ADGRG6 knockdown reduced the proliferation of CFPAC-1 and PANC-1 cells"""
CT247,Human,Pancreas,Pancreatic adenocarcinoma,Pancreatic Cancer,Pancreatic adenocarcinoma,Pancreatic adenocarcinoma,Cancer cell,Malignant cell,LY6D+ tumor cells,LY6D,40230840,Multidimensional transcriptomics based to illuminate the mechanisms of taurine metabolism in immune resistance of pancreatic cancer,Frontiers in Immunology,2025,Spatial transcriptomics and single-cell transcriptomics,Spatial transcriptomics and single-cell transcriptomics,biological phenotype,Tumor Growth,cell growth,promotes,cell lines,Cell proliferation assay,CCK-8 assay,functional assay,"""The results showed that the growth of pancreatic cancer cells decreased after down-regulating LY6D"""
CT248,Human,Pancreas,Pancreatic adenocarcinoma,Pancreatic Cancer,Pancreatic adenocarcinoma,Pancreatic adenocarcinoma,Cancer cell,Malignant cell,LY6D+ tumor cells,LY6D,40230840,Multidimensional transcriptomics based to illuminate the mechanisms of taurine metabolism in immune resistance of pancreatic cancer,Frontiers in Immunology,2025,Spatial transcriptomics and single-cell transcriptomics,Spatial transcriptomics and single-cell transcriptomics,biological phenotype,Tumor Invasion,invasion and migration,promotes,cell lines,Cell invasion and migration assay,Transwell assay,functional assay,"""The invasion and migration abilities of pancreatic cancer cells decreased after down-regulating LY6D"""
CT249,Human,Gut,Colon,Colorectal Cancer,Colorectal Cancer,Colon Adenocarcinoma,Fibroblast,Cancer-associated fibroblasts,Cancer-associated fibroblasts,HSPA1A、P4HA1、MAN1B1、CCPS7A、SLC9A3R2、RAB7A,40264753,Cancer-associated ﬁbroblasts gene signature: a novel approach to survival prediction and immunotherapy guidance in colon cancer, Frontiers in Immunology,2025,Single-cell RNA sequencing,GSE132465,clinical phenotype,Drug Response,drug sensitivity,associated with better drug sensitivity,clinical sample,Drug sensitivity analysis,analysis,clinical information,"Additionally, the differences in IC50 levels of chemotherapy drugs between the low-risk and high-risk groups in the TCGA-COAD cohort were investigated (Figures 7A-E). The analysis revealed that individuals in the low-risk category had higher IC50 values for anticancer drugs such as gemcitabine, gefitinib, docetaxel, camptothecin, and sorafenib. Comparable findings were noted in the GSE17536 (Figures 7F-J) and GSE159216 (Figures 7K-O) validation cohorts. These results indicate that the CAFG signature could be a useful predictor for selecting appropriate anticancer drugs in COAD treatment."
CT250,Human,Gut,Colon,Colorectal Cancer,Colorectal Cancer,Colon Adenocarcinoma,Fibroblast,Cancer-associated fibroblasts,Cancer-associated fibroblasts,HSPA1A、P4HA1、MAN1B1、CCPS7A、SLC9A3R2、RAB7A,40264753,Cancer-associated ﬁbroblasts gene signature: a novel approach to survival prediction and immunotherapy guidance in colon cancer, Frontiers in Immunology,2025,Single-cell RNA sequencing,GSE132465,clinical phenotype,Survival,Overall Survival,associated with worse survival,clinical sample,Cox regression,analysis,clinical information,"Risk Score =(-0.66451*CTNNA1 expression)+(0.25692*HSPA1A expression)+(0.72129*P4HA1 expression)+(-0.72811*PPP2CB expression)+(0.85761 *MAN1B1 expression)+(-0.74474*LRRC59 expression)+(1.17154*CCPS7A expression)+(0.52996*SLC9A3R2 expression)+(1.21188*RAB7A expression) +(-0.92288*CAMTA1 expression)+(-0.39307*WIPI1 expression). Among the 11 identified prognostic genes, six (HSPA1A, P4HA1, MAN1B1, CCPS7A, SLC9A3R2, and RAB7A) were classified as risk-associated genes (HR > 1), while CTNNA1, PPP2CB, LRRC59, CAMTA1, and WIPI1 were regarded as protective genes (HR < 1). The CAFG risk score was calculated for each person by leveraging these genes. Subsequently, the TCGA-COAD, GSE17536, and GSE159216 cohorts were separated into low-risk and high-risk groups based on the median risk scores. Studies revealed that individuals belonging to the low-risk group showed better OS outcomes in comparison to those in the high-risk group (TCGA, HR = 3.272, 95% CI: 2.008-5.332, P < 0.001; GSE159216, HR = 1.924, 95% CI: 1.197-3.092, P = 0.031; GSE17536, HR = 1.496, 95% CI: 1.708-2.075, P = 0.005, Figures 3D-F). "
CT251,Human,Blood,Blood,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,Myeloid cell,Malignant myeloid cells,yellow module-expressing myeloid cells,yellow module genes (including CD52),40264770,Single-cell transcriptomic analysis identified resistant MDSCs and a stress-tolerant gene co-expression network as common MDSC features across multiple disease settings,Frontiers in Immunology,2025,Single-cell RNA sequencing,unknown,clinical phenotype,Survival,Overall Survival,worse,clinical sample,Survival analysis,TCGA dataset,clinical analysis,"""a time-to-event analysis revealed that the yellow module signature was independently associated with poor prognosis in AML beyond the known prognostic markers, including mutated TP53 (Figure 7D)."""
CT252,Human,Reproductive,Cervix,Cervical Cancer,Cervical carcinoma,Cervical squamous cell carcinoma and endocervical adenocarcinoma,Macrophage,Macrophages,Macrophages,"CD163, CD14, CD68",40270962,Epithelial and macrophage cell interaction in cervical cancer through single-cell RNA-sequencing and spatial analysis,Frontiers in Immunology,2025,Single-cell RNA sequencing,Single-cell RNA sequencing,clinical phenotype,Survival,Overall Survival and Disease-Free Survival,better,clinical sample,Kaplan-Meier survival analysis,unknown,clinical analysis,"The KM curve showed that the macrophage marker gene group showed a statistically significant difference in DFS (Figure 2B) and OS (Figure 2C) between patients with high and low expression of macrophage marker genes (p < 0.05), where a higher score indicated better outcomes"
CT253,Human,Liver,Hepatocellular,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Malignant cell,Malignant cells,PRKDC-positive Malignant cells,PRKDC,40295654,Integrated spatial and single cell transcriptomics identifies PRKDC as a dual prognostic biomarker and therapeutic target in hepatocellular carcinoma,Scientific Reports,2025,"Single-cell RNA sequencing, Spatial transcriptomics","Single-cell RNA sequencing, Spatial transcriptomics",clinical phenotype,Survival,Overall Survival,worse,clinical sample,Kaplan-Meier survival analysis,unknown,clinical analysis,"""The Kaplan-Meier survival analysis of PRKDC in HCC shows a significant difference in overall survival between high and low expression groups. Patients with higher PRKDC expression exhibit significantly worse overall survival compared to those with lower expression levels (P = 0.006)."""
CT254,"Human, Mouse",Prostate,Prostate,Prostate Cancer,Prostate Cancer,Prostate Cancer,Fibroblast,Cancer-associated fibroblasts,CRPC-CAFs,DCN、COL1A1,40307786,Single-cell sequencing unveils the transcriptomic landscape of castration-resistant prostate cancer-associated fibroblasts and their association with prognosis and immunotherapy response,BMC Cancer,2025,bulk transcriptome,IMvigor210,clinical phenotype,Drug Response,immunotherapy response,poorer,clinical sample,mouse model,"Eight-week-old male C57BL/6J mice were procured from Weitong Lihua Experiment Animal Technology Co., Ltd. (Beijing, China)",mouse," In the IMvigor210 cohort, patients with higher CRPC-CAFs scores exhibited markedly shorter overall survival and a poorer immunotherapy response compared with those with lower scores (Fig. 5A-B).

Collectively, these observations indicated that the inhibition of TGF-β signaling in CRPC-CAFs could enhance the efficacy of immunotherapeutic intervention through amplifying immune response in prostate cancer.++"
CT255,Human,Prostate,Prostate,Prostate Cancer,Prostate Cancer,Prostate Cancer,Fibroblast,Cancer-associated fibroblasts,CRPC-CAFs,DCN、COL1A1,40307786,Single-cell sequencing unveils the transcriptomic landscape of castration-resistant prostate cancer-associated fibroblasts and their association with prognosis and immunotherapy response,BMC Cancer,2025,Single-cell RNA-sequencing,GSE141445、GSE210358,clinical phenotype,Survival,recurrence-free survival,worse,clinical sample,survival analysis,analysis,clinical information,"To explore the prognostic significance of CRPC-CAFs, we conducted Kaplan-Meier analysis and found that patients with higher CRPC-CAFs scores had a more unfavorable recurrence-free survival than those with lower CRPC-CAFs scores in the TCGA, GSE70769, and GSE21034 cohorts (Fig. 1I-K)."
CT256,Human,Liver,Hepatocellular,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocellular carcinoma,Natural Killer cell,Natural Killer cell,NK cells,"KLRB1, STAT4, EHD1, 

 PIK3IP1, PSMA3, and TNFAIP8",40312525,Single-cell sequencing combined with bulk RNA seq reveals the roles of natural killer cell in prognosis and immunotherapy of hepatocellular carcinoma,Scientific Reports,2025,"Single-cell RNA sequencing, Bulk RNA sequencing","Single-cell RNA sequencing, Bulk RNA sequencing",clinical phenotype,Survival,Overall Survival,associated with better survival,clinical sample,Independent dataset,ICGC-LIRI cohort,clinical analysis,"""In the ICGC-LIRI set, the low-risk group also showed better OS, p = 0.003"""
CT257,Human,oral,oral cavity,Head and Neck Cancer,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,Neutrophil,Neutrophil,Tumor-associated neutrophils,LYZ、G0S2、IL1B、CD14,40312694,Integrated analysis of single-cell RNA-seq and bulk RNA-seq unravels the molecular feature of tumor-associated neutrophils of head and neck squamous cell carcinoma,BMC Cancer,2025,Single-cell RNA sequencing,,clinical phenotype,Survival,Overall Survival,worse,clinical sample,survival analysis,analysis,clinical information,"The processed TCGA-HNSCC dataset, incorporating survival data from the TCGA database, was randomly partitioned into a training set and a test set in a 3:1 ratio. HNSCC patients were stratified into high NRS (H-NRS) and low NRS (L-NRS) groups according to the median risk score derived from the TCGA training set. Survival distribution analysis demonstrated a significant difference in survival rates between the two groups, with the H-NRS associated with a worse prognosis and a 5-year survival rate below 50% (Fig. 2E-F). Furthermore, the ROC curve results for both the training and test sets indicate the model demonstrates good validation performance (Fig. 2I-J), highlighting the significant potential of NRS in predicting clinical outcomes in HNSCC. Consistent with prior research findings, the external independent validation datasets (GSE41613, GSE65858) demonstrated that the H-NRS group exhibited poorer prognostic outcomes (Fig. 2G-H and 2 K-L). "
CT258,Human,Gut,Colon,Colorectal Cancer,Colorectal Cancer,unknown,Fibroblast,Cancer-associated fibroblasts,FNDC5+ CAFs,FNDC5,40313961,The malignant signature gene of cancer-associated ﬁbroblasts serves as a potential prognostic biomarker for colon adenocarcinoma patients, Frontiers in Immunology,2025,Single-cell RNA sequencing,GSE231559,biological phenotype,Tumor Metastasis,cell migration and invasion,promotes,cell lines,Transwell assay,"Corning, Inc.",cell,"We identified pseudotime-correlated genes in CAFs, screening 622 pseudotime-correlated genes based on p < 0.05, and visualized them using a heat map (Figure 6D).

Additionally, Transwell assays were used to evaluate the migration and invasion abilities.The results demonstrated that FNDC5 knockdown markedly decreased both processes (Figures 9E–H)."
CT259,Human,Gut,Colon,Colorectal Cancer,Colorectal Cancer,unknown,Fibroblast,Cancer-associated fibroblasts,FNDC5+ CAFs,FNDC5,40313961,The malignant signature gene of cancer-associated ﬁbroblasts serves as a potential prognostic biomarker for colon adenocarcinoma patients, Frontiers in Immunology,2025,Single-cell RNA sequencing,GSE231559,biological phenotype,Tumor Growth,cell proliferation,promotes,cell lines,Colony formation assay,unknow,cell,"The impact of FNDC5 knockdown on cell proliferation was evaluated through colony formation assays. The assays revealed a significant reduction in proliferative capacity (Figures 9C, D). "
CT260,Human,Gut,Colon,Colorectal Cancer,Colorectal Cancer,unknown,Fibroblast,Cancer-associated fibroblasts,FNDC5+ CAFs,FNDC5,40313961,The malignant signature gene of cancer-associated ﬁbroblasts serves as a potential prognostic biomarker for colon adenocarcinoma patients, Frontiers in Immunology,2025,Single-cell RNA sequencing,GSE231559,clinical phenotype,Survival,Overall Survival,worse survival,clinical sample,survival analysis,analysis,clinical information,"Based on median risk score, COAD samples were categorized into low-risk and high-risk groups (Figure 7D), with the low-risk group demonstrating superior survival outcomes compared to the high-risk group (Figure 7E). To validate FNDC5 as a prognostic marker for COAD, we analyzed data from the GEO database (GSE39582, GSE33113, and GSE17536). Patients were categorized into high and low expression groups based on the median FNDC5 expression level, and Kaplan-Meier (KM) survival analysis was performed. Figures 8A, B illustrate that the low-expression group exhibited improved recurrence-free rates and survival outcomes relative to the high-expression group."
CT261,Human,Lung,Lung,Lung Cancer,Lung Adenocarcinoma,Lung Adenocarcinoma,Stem Cell,Cancer Stem Cell,A549 stem cell,"ARSE, GJB1, CXCL3",40341189,The cancer stem cells characteristics analysis of LGR5 + cells that influence lung cancer risk by using single cell RNA-seq analysis,Scientific Reports,2025,Single-cell RNA sequencing,10x Genomics,biological phenotype,Tumor Invasion,cell migration and invasion,promotes,cell lines,"wound healing assay, trans-well assay",unknown,cell migration and invasion assays,"""After silencing of CXCL3 gene, the wound closures of A549 cells were significantly decreased in the wound healing assay (p<0.05, Fig. 5D), meanwhile, the numbers of A549 cells were significantly declined in the trans-well assay (p<0.05, Fig. 5E)"""
CT262,Human,Lung,Lung,Lung Cancer,Lung Adenocarcinoma,Lung Adenocarcinoma,Stem Cell,Cancer Stem Cell,A549 stem cell,"ARSE, GJB1, CXCL3",40341189,The cancer stem cells characteristics analysis of LGR5 + cells that influence lung cancer risk by using single cell RNA-seq analysis,Scientific Reports,2025,Single-cell RNA sequencing,10x Genomics,biological phenotype,Tumor Growth,cell proliferation and apoptosis,promotes,cell lines,"qRT-PCR, Western blotting, EdU tests, flow cytometry",unknown,"RNA, protein","""CXCL3 silencing also significantly reduced the proliferative capacity of A549 cells (p<0.001, Fig. 5F), and increased the level of apoptosis in this cell line (p<0.001, Fig. 5G)"""
CT263,Human,Gut,Colon,Colorectal Cancer,Colorectal Cancer,Colon Adenocarcinoma,Dendritic cell,Dendritic cells,Dendritic cells,SPP1、CXCL8,40389562,Focusing on DC cells to optimize the prediction of prognosis and innovative treatment strategies for colon cancer,Scientific Reports,2025,Single-cell RNA sequencing,GSE161277,clinical phenotype,Survival,Overall Survival,worse,clinical sample,survival analysis,analysis,clinical information,"Eventually, we identified 27 prognosis-related DCRGs. Following this, we applied LASSO and multivariate Cox analysis to filter the prognosis-related DCRGs, resulting in the identification of 5 key DCRGs (CTSD, DAPK1, TIMP1, TBXAS1, PPP2CB).

The analysis findings showed that in all three datasets, the prognosis of HDG was notably poorer compared to that of the LDG (Fig. 4A–C)."
CT264,Human,Lung,Lung,Lung Cancer,Lung Adenocarcinoma,Lung Adenocarcinoma,Epithelial cell,Malignant epithelial cells,MDK-NCL high malignant cells,"MDK, NCL",40396179,Integrative single-cell and spatial transcriptomics analysis reveals MDK-NCL pathway’s role in shaping the immunosuppressive environment of lung adenocarcinoma,Frontiers in Immunology,2025,"Single-cell RNA sequencing, Spatial transcriptomics",10x Genomics Visium,clinical phenotype,Survival,overall survival,associated with worse,clinical sample,Independent dataset,TCGA-LUAD cohort,clinical analysis,"""Moreover, patients with high MDK-NCL expression exhibited poorer survival outcomes, underscoring the pathway’s role in tumor progression and immune evasion."""
CT265,Human,Lung,Lung,Lung Cancer,Lung Adenocarcinoma,unknown,Epithelial cell,Malignant epithelial cells,MDK-NCL high malignant cells,"MDK, NCL",40396179,Integrative single-cell and spatial transcriptomics analysis reveals MDK-NCL pathway’s role in shaping the immunosuppressive environment of lung adenocarcinoma,Frontiers in Immunology,2025,"Single-cell RNA sequencing, Spatial transcriptomics",10x Genomics Visium,biological phenotype,Tumor Growth,shape TME,promotes,clinical sample,"Independent dataset, Western blot","TCGA-LUAD cohort, in-house cohort","clinical analysis, RNA, protein",Western blot analysis further confirmed that protein expression levels of MDK and NCL were significantly upregulated in tumor samples compared to controls (Figures 6D_x0002_F).
CT266,Human,Prostate,Prostate,Prostate Cancer,Prostate Cancer,Prostate Adenocarcinoma,Fibroblast,Cancer-associated fibroblasts,FAP+ fibroblasts,FAP,40438108,Intercellular communication between FAP+ fibroblasts and SPP1+ macrophages in prostate cancer via multi-omics,Frontiers in Immunology,2025,"Single-cell RNA sequencing, Spatial transcriptomics",10x Genomics,clinical phenotype,Survival,Overall Survival,worse,clinical sample,Independent dataset,"TCGA, GEO",clinical analysis,"""Further analysis into the relationship between FAP and clinical prognosis revealed that elevated FAP expression related to poorer prognosis in PCa patients, which was also evidenced in two independent public cohorts (Figures 1H, I)."""
CT267,Human,Prostate,Prostate,Prostate Cancer,Prostate Cancer,Prostate Adenocarcinoma,Macrophage,Tumor-associated macrophages,SPP1+ macrophages,SPP1,40438108,Intercellular communication between FAP+ fibroblasts and SPP1+ macrophages in prostate cancer via multi-omics,Frontiers in Immunology,2025,"Single-cell RNA sequencing, Spatial transcriptomics",10x Genomics,clinical phenotype,Survival,Overall Survival,worse,clinical sample,Independent dataset,"TCGA, GEO",clinical analysis,"""Patients with high levels of both FAP+ fibroblasts and SPP1+ macrophages show significantly poorer survival outcomes (Figure 3H)."""
CT268,Human,Endocrine,Pituitary,Pituitary Neuroendocrine Tumor,Pituitary neuroendocrine tumors (PitNETs),"ACTH-secreting, silent gonadotroph adenomas, etc.",Macrophage,Tumor-associated macrophages,SPP1+ TAMs,"SPP1, CD68",40442104,Single-cell and spatial transcriptome analyses reveal tumor heterogeneity and immune remodeling involved in pituitary neuroendocrine tumor progression,Nature Communications,2025,"Single-cell RNA sequencing, Spatial transcriptomics","10x Chromium, Visium Spatial Gene Expression",biological phenotype,Tumor Invasion,tumor invasion,promotes,cell lines,"Transwell invasion assay, CCK-8 assay","Transwell inserts, microplate reader",protein,"""SPP1 treatment not only promoted pituitary tumor migration and invasion (Fig. 7g-h), but also significantly enhanced cell growth and increased Ki67 expression in PitNET organoids (Fig. 7i-k)."""
CT269,Human,Digestive tract,Esophagus,Esophageal Cancer,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Epithelial cell,Malignant epithelial cells,HMGB3-high malignant epithelial cells,HMGB3,40496864,Malignant epithelial cell marker–driven risk signature enables precise stratification in esophageal cancer,Frontiers in Immunology,2025,Single-cell RNA sequencing,scRNA-seq,biological phenotype,Tumor Growth,Cell proliferation,promotes,cell lines,Cell culture experiments,CCK-8 assay,RNA/protein,"""CCK-8 assays revealed that HMGB3 knockdown significantly inhibited cell proliferation in both KYSE-150 and KYSE-410 cell lines, with statistically significant differences in OD values over the course of 6 days (Figures 10J, K)."""
CT270,Human,Digestive tract,Esophagus,Esophageal Cancer,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Epithelial cell,Malignant epithelial cells,HMGB3-high malignant epithelial cells,HMGB3,40496864,Malignant epithelial cell marker–driven risk signature enables precise stratification in esophageal cancer,Frontiers in Immunology,2025,Single-cell RNA sequencing,scRNA-seq,biological phenotype,Tumor Growth,Colony formation,promotes,cell lines,Cell culture experiments,Colony formation assay,RNA/protein,"""Colony formation assays demonstrated that silencing HMGB3 suppressed cell proliferation (Figure 10I)."""
CT271,Human,Digestive tract,Esophagus,Esophageal Cancer,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Epithelial cell,Malignant epithelial cells,HMGB3-high malignant epithelial cells,HMGB3,40496864,Malignant epithelial cell marker–driven risk signature enables precise stratification in esophageal cancer,Frontiers in Immunology,2025,Single-cell RNA sequencing,scRNA-seq,biological phenotype,Tumor Invasion,Invasion,promotes,cell lines,Cell culture experiments,Transwell invasion assay,RNA/protein,"""Transwell invasion assays showed that silencing HMGB3 significantly inhibited the invasive ability of both cell lines (Figure 10H)."""
CT272,Human,Digestive tract,Esophagus,Esophageal Cancer,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Epithelial cell,Malignant epithelial cells,"Malignant epithelial subclusters (Cluster 1, 3, 4)","EPCAM,NKG 7",40496864,Malignant epithelial cell marker–driven risk signature enables precise stratification in esophageal cancer,Frontiers in Immunology,2025,Single-cell RNA sequencing,scRNA-seq,clinical phenotype,Survival,Overall Survival,worse,clinical sample,Independent dataset analysis,GEO cohort (GSE53624),RNA,"""In the independent GSE53624 validation cohort, similar trends were observed: high-risk patients had significantly worse survival (Figure 6C; log-rank p = 0.00029)"""
CT273,Human,Urinary tract,Kidney,Renal Cell Carcinoma,Clear-cell renal cell carcinoma,Clear Cell Renal Cell Carcinoma,Epithelial cell,Tumor epithelial cells,FABP1+ tumor cells,FABP1,40518526,Single-cell multi-omics reveals that FABP1 + renal cell carcinoma drive tumor angiogenesis through the PLG-PLAT axis under fatty acid reprogramming,Molecular Cancer,2025,Single-cell RNA sequencing,scRNA-seq,biological phenotype,Tumor Metastasis,Metastasis,promotes,mouse model,"Orthotopic xenograft model, bioluminescence imaging",Luciferase-expressing cells in nude mice,protein,"""FABP1 overexpression significantly promoted the progression and metastasis of in vivo"""
CT274,Human,Urinary tract,Kidney,Renal Cell Carcinoma,Clear-cell renal cell carcinoma,Clear Cell Renal Cell Carcinoma,Epithelial cell,Tumor epithelial cells,FABP1+ tumor cells,FABP1,40518526,Single-cell multi-omics reveals that FABP1 + renal cell carcinoma drive tumor angiogenesis through the PLG-PLAT axis under fatty acid reprogramming,Molecular Cancer,2025,Single-cell RNA sequencing,scRNA-seq,clinical phenotype,Survival,Overall Survival,worse,clinical sample,Independent dataset analysis,TCGA-KIRC cohort,RNA,"""By Intersecting top 10 differential genes with ""HALL_x0002_ MARK_FATTY_ACID_-METABOLISM"" gene set, we identified FABP1 as the only overlapping gene showing highest expression in Tumor C2.Survival analysis revealed that patients enriched in Tumor C2 exhibited significantly worse prognosis [HR = 3.11, 95% CI (1.5–6.44), P = 0.002]"""
CT275,Human,Urinary tract,Kidney,Renal Cell Carcinoma,Clear-cell renal cell carcinoma,Clear Cell Renal Cell Carcinoma,Epithelial cell,Tumor epithelial cells,FABP1+ tumor cells,FABP1,40518526,Single-cell multi-omics reveals that FABP1 + renal cell carcinoma drive tumor angiogenesis through the PLG-PLAT axis under fatty acid reprogramming,Molecular Cancer,2025,Single-cell RNA sequencing,scRNA-seq,biological phenotype,Tumor Growth,Tumor angiogenesis,promotes,cell lines and mouse model,"Tube formation assay, Transwell assay, in vivo imaging","HUVEC culture, orthotopic xenograft",protein,"""In the Tube formation assay and Transwell assay, we observed a significant enhancement in the Tube formation and migration abilities of HUVECs when incubated with the culture medium of FABP1-overexpressing RCC cells(Fig.  7D-E)"""
CT276,Human,Central Nervous System,Brain,Glioma,Glioblastoma,Glioblastoma,Tumor cell,NPC-like cells,MAZ(+) NPC-like cluster,MAZ,40524155,Single-cell and spatial transcriptome analyses reveal MAZ(+) NPC-like clusters as key role contributing to glioma recurrence and drug resistance,Journal of Translational Medicine,2025,Single-cell RNA sequencing,scRNA-seq,clinical phenotype,Survival,Overall Survival,worse,clinical sample,Independent dataset analysis,TCGA and CGGA cohorts,RNA,"""Survival analysis revealed that glioma patients with high proportion of MAZ(+)_NPC-like cluster had poorer prognoses."""
CT277,Human,Central Nervous System,Brain,Glioma,Glioblastoma,Glioblastoma,Tumor cell,NPC-like cells,MAZ(+) NPC-like cluster,MAZ,40524155,Single-cell and spatial transcriptome analyses reveal MAZ(+) NPC-like clusters as key role contributing to glioma recurrence and drug resistance,Journal of Translational Medicine,2025,Single-cell RNA sequencing,scRNA-seq,biological phenotype,Drug Response,TMZ Resistance,promotes,cell lines,Cell culture experiments,CCK-8 assay and colony formation assay,RNA/protein,"""Temozolomide (TMZ) is an important chemotherapeutic agent for glioma treatment,TMZ toxicity assays showed that MAZ overexpression enhanced glioma cell survival in different concentrations of TMZ, with the IC50 increasing from 914.6 μM to 1626 μM. Silencing FOXM1 in MAZ overexpressing cells removed this phenomenon, with the IC50 decreased from 1626 μM to 1050 μM."""
CT278,Human,Kidney,Kidney,Wilms tumor,Wilms tumor,Wilms tumor,Cancer cell,tumor cell,REN-expressing tumor cells,REN,40534868,Integrated transcriptomics and machine learning reveal REN as a dual regulator of tumor stemness and NK cell evasion in Wilms tumor progression,Frontiers in Immunology,2025,Single-cell transcriptome,scRNA-seq,biological phenotype,Tumor Growth,promote proliferation,promotes,cell lines,cell culture experiments,"siRNA knockdown, CCK-8, EdU, wound healing, transwell assays",RNA,"""Functional assays demonstrated the tumor-promoting role of REN in Wilms tumor cells. A CCK-8 proliferation assay revealed a significant reduction in cellular activity and proliferation in the REN-knockdown (KD) group compared to the negative control (NC) group."""
CT279,Human,Lung,Lung adenocarcinoma,Lung cancer,Lung adenocarcinoma,Lung adenocarcinoma,Cancer cell,Lung adenocarcinoma cells,PLEK2-expressing tumor cells,PLEK2,40552290,Development of a machine learning-derived dendritic cell signature for prognostic stratification in lung adenocarcinoma,Frontiers in Immunology,2025,Single-cell transcriptome,unknown,biological phenotype,Tumor Invasion,Cell migration and invasion,promotes,cell lines,cell culture experiments,Transwell assay,protein,"""Transwell invasion assays showed that PLEK2 knockdown via two independent siRNAs significantly reduced the invasive capacity of A549 and H1299 cells (Figure 10E)."""
CT280,Human,Lung,Lung adenocarcinoma,Lung cancer,Lung adenocarcinoma,Lung adenocarcinoma,Cancer cell,Lung adenocarcinoma cells,PLEK2-expressing tumor cells,PLEK2,40552290,Development of a machine learning-derived dendritic cell signature for prognostic stratification in lung adenocarcinoma,Frontiers in Immunology,2025,Single-cell transcriptome,unknown,biological phenotype,Tumor Growth,Cell proliferation,promotes,cell lines,cell culture experiments,CCK-8 assay,protein,"""CCK-8 assays revealed that PLEK2 knockdown inhibited cell viability in a time-dependent manner (Figures 10G, H)."""
CT281,Human,Bone,Bone,Ewing sarcoma,Ewing sarcoma,Ewing sarcoma,Cancer cell,Ewing sarcoma cells,A673 cells,"ID3,BDP1, CLEC11A",40607387,Integrative analysis of T cell-associated markers in Ewing sarcoma reveals prognostic signatures and immune dynamics,Frontiers in Immunology,2025,Single-cell transcriptome,scRNA-seq,biological phenotype,Tumor Growth,Cell proliferation,promotes,cell lines,cell culture experiments,"siRNA knockdown, qRT-PCR, cell counting, flow cytometry",RNA,"""The results showed that, compared to the control group, ID3 knockdown significantly inhibited the proliferative capacity of A673 cells (Figure 8D). Flow cytometry analysis revealed that knockdown of ID3 induced G2 phase cell cycle arrest in A673 cells (Figures 8E, F)."""
